SOURCE,TARGET,WEIGHT
8587,8111,1
8587,10299,1
8587,9272,1
8587,9183,1
8587,8877,1
8587,10033,1
8587,9715,1
8587,8896,1
8587,9950,1
8111,10299,1
8111,9272,1
8111,9183,1
8111,8877,1
8111,10033,1
8111,9715,1
8111,8896,1
8111,9950,1
10299,9272,1
10299,9183,1
10299,8877,1
10299,10033,1
10299,9715,1
10299,8896,1
10299,9950,1
9272,9183,1
9272,8877,1
9272,10033,1
9272,9715,1
9272,8896,1
9272,9950,1
9183,8877,1
9183,10033,1
9183,9715,1
9183,8896,1
9183,9950,1
8877,10033,1
8877,9715,1
8877,8896,1
8877,9950,1
10033,9715,1
10033,8896,1
10033,9950,1
9715,8896,1
9715,9950,1
8896,9950,1
8640,8884,1
8640,9820,1
8640,9884,1
8640,8015,1
8015,9884,1
8015,9820,1
8015,8884,1
9884,9820,1
9884,8884,1
9820,8884,1
10712,10520,1
10712,9083,1
10712,10504,1
10712,9428,1
10712,10214,1
10712,9018,1
10712,10308,1
10308,9018,1
10308,10214,1
10308,9428,1
10308,10504,1
10308,9083,1
10308,10520,1
9018,10214,1
9018,9428,1
9018,10504,1
9018,9083,1
9018,10520,1
10214,9428,1
10214,10504,1
10214,9083,1
10214,10520,1
9428,10504,1
9428,9083,1
9428,10520,1
10504,9083,1
10504,10520,1
9083,10520,1
9404,8765,1
9404,8989,1
9404,9422,1
9404,10664,1
9404,8069,1
9404,10234,1
9404,9953,1
9404,7851,1
9404,8239,1
9404,8308,1
9404,7897,1
9404,8112,1
9404,8591,1
9404,8495,1
9404,10327,1
9404,10451,1
9404,10917,1
9404,8982,1
9404,8581,1
9404,9147,1
9404,9633,1
9404,10897,1
10897,9633,1
10897,9147,1
10897,8581,1
10897,8982,1
10897,10917,1
10897,10451,1
10897,10327,1
10897,8495,1
10897,8591,1
10897,8112,1
10897,7897,1
10897,8308,1
10897,8239,1
10897,7851,1
10897,9953,1
10897,10234,1
10897,8069,1
10897,10664,1
10897,9422,1
10897,8989,1
10897,8765,1
9633,9147,1
9633,8581,1
9633,8982,1
9633,10917,1
9633,10451,1
9633,10327,1
9633,8495,1
9633,8591,1
9633,8112,1
9633,7897,1
9633,8308,1
9633,8239,1
9633,7851,1
9633,9953,1
9633,10234,1
9633,8069,1
9633,10664,1
9633,9422,1
9633,8989,1
9633,8765,1
9147,8581,1
9147,8982,1
9147,10917,1
9147,10451,1
9147,10327,1
9147,8495,1
9147,8591,1
9147,8112,1
9147,7897,1
9147,8308,1
9147,8239,1
9147,7851,1
9147,9953,1
9147,10234,1
9147,8069,1
9147,10664,1
9147,9422,1
9147,8989,1
9147,8765,1
8581,8982,1
8581,10917,1
8581,10451,1
8581,10327,1
8581,8495,1
8581,8591,1
8581,8112,1
8581,7897,1
8581,8308,1
8581,8239,1
8581,7851,1
8581,9953,1
8581,10234,1
8581,8069,1
8581,10664,1
8581,9422,1
8581,8989,1
8581,8765,1
8982,10917,1
8982,10451,1
8982,10327,1
8982,8495,1
8982,8591,1
8982,8112,1
8982,7897,1
8982,8308,1
8982,8239,1
8982,7851,1
8982,9953,1
8982,10234,1
8982,8069,1
8982,10664,1
8982,9422,1
8982,8989,1
8982,8765,1
10917,10451,1
10917,10327,1
10917,8495,1
10917,8591,1
10917,8112,1
10917,7897,1
10917,8308,1
10917,8239,1
10917,7851,1
10917,9953,1
10917,10234,1
10917,8069,1
10917,10664,1
10917,9422,1
10917,8989,1
10917,8765,1
10451,10327,1
10451,8495,1
10451,8591,1
10451,8112,1
10451,7897,1
10451,8308,1
10451,8239,1
10451,7851,1
10451,9953,1
10451,10234,1
10451,8069,1
10451,10664,1
10451,9422,1
10451,8989,1
10451,8765,1
10327,8495,1
10327,8591,1
10327,8112,1
10327,7897,1
10327,8308,1
10327,8239,1
10327,7851,1
10327,9953,1
10327,10234,1
10327,8069,1
10327,10664,1
10327,9422,1
10327,8989,1
10327,8765,1
8495,8591,1
8495,8112,1
8495,7897,1
8495,8308,1
8495,8239,1
8495,7851,1
8495,9953,1
8495,10234,1
8495,8069,1
8495,10664,1
8495,9422,1
8495,8989,1
8495,8765,1
8591,8112,1
8591,7897,1
8591,8308,1
8591,8239,1
8591,7851,1
8591,9953,1
8591,10234,1
8591,8069,1
8591,10664,1
8591,9422,1
8591,8989,1
8591,8765,1
8112,7897,1
8112,8308,1
8112,8239,1
8112,7851,1
8112,9953,1
8112,10234,1
8112,8069,1
8112,10664,1
8112,9422,1
8112,8989,1
8112,8765,1
7897,8308,1
7897,8239,1
7897,7851,1
7897,9953,1
7897,10234,1
7897,8069,1
7897,10664,1
7897,9422,1
7897,8989,1
7897,8765,1
8308,8239,1
8308,7851,1
8308,9953,1
8308,10234,1
8308,8069,1
8308,10664,1
8308,9422,1
8308,8989,1
8308,8765,1
8239,7851,1
8239,9953,1
8239,10234,1
8239,8069,1
8239,10664,1
8239,9422,1
8239,8989,1
8239,8765,1
7851,9953,1
7851,10234,1
7851,8069,1
7851,10664,1
7851,9422,1
7851,8989,1
7851,8765,1
9953,10234,1
9953,8069,1
9953,10664,1
9953,9422,1
9953,8989,1
9953,8765,1
10234,8069,1
10234,10664,1
10234,9422,1
10234,8989,1
10234,8765,1
8069,10664,1
8069,9422,1
8069,8989,1
8069,8765,1
10664,9422,1
10664,8989,1
10664,8765,1
9422,8989,1
9422,8765,1
8989,8765,1
9917,8293,1
9917,9165,1
9917,9341,1
9917,10580,1
9917,9319,1
9917,10141,1
9917,9867,1
9917,8141,1
9917,8330,1
9917,9057,1
9057,8330,1
9057,8141,1
9057,9867,1
9057,10141,1
9057,9319,1
9057,10580,1
9057,9341,1
9057,9165,1
9057,8293,1
8330,8141,1
8330,9867,1
8330,10141,1
8330,9319,1
8330,10580,1
8330,9341,1
8330,9165,1
8330,8293,1
8141,9867,1
8141,10141,1
8141,9319,1
8141,10580,1
8141,9341,1
8141,9165,1
8141,8293,1
9867,10141,1
9867,9319,1
9867,10580,1
9867,9341,1
9867,9165,1
9867,8293,1
10141,9319,1
10141,10580,1
10141,9341,1
10141,9165,1
10141,8293,1
9319,10580,1
9319,9341,1
9319,9165,1
9319,8293,1
10580,9341,1
10580,9165,1
10580,8293,1
9341,9165,1
9341,8293,1
9165,8293,1
8814,9807,1
8814,9693,1
8814,8975,1
8814,10872,1
8814,10590,1
8814,10783,1
8814,8710,1
8814,10272,1
8814,10592,1
8814,8318,1
8814,8075,1
8814,9230,1
8814,9410,1
8814,9369,1
8814,8285,1
8814,9254,1
8814,7923,1
8814,9226,1
8814,9168,1
8814,8113,1
8113,9168,1
8113,9226,1
8113,7923,1
8113,9254,1
8113,8285,1
8113,9369,1
8113,9410,1
8113,9230,1
8113,8075,1
8113,8318,1
8113,10592,1
8113,10272,1
8113,8710,1
8113,10783,1
8113,10590,1
8113,10872,1
8113,8975,1
8113,9693,1
8113,9807,1
9168,9226,1
9168,7923,1
9168,9254,1
9168,8285,1
9168,9369,1
9168,9410,1
9168,9230,1
9168,8075,1
9168,8318,1
9168,10592,1
9168,10272,1
9168,8710,1
9168,10783,1
9168,10590,1
9168,10872,1
9168,8975,1
9168,9693,1
9168,9807,1
9226,7923,1
9226,9254,1
9226,8285,1
9226,9369,1
9226,9410,1
9226,9230,1
9226,8075,1
9226,8318,1
9226,10592,1
9226,10272,1
9226,8710,1
9226,10783,1
9226,10590,1
9226,10872,1
9226,8975,1
9226,9693,1
9226,9807,1
7923,9254,1
7923,8285,1
7923,9369,1
7923,9410,1
7923,9230,1
7923,8075,1
7923,8318,1
7923,10592,1
7923,10272,1
7923,8710,1
7923,10783,1
7923,10590,1
7923,10872,1
7923,8975,1
7923,9693,1
7923,9807,1
9254,8285,1
9254,9369,1
9254,9410,1
9254,9230,1
9254,8075,1
9254,8318,1
9254,10592,1
9254,10272,1
9254,8710,1
9254,10783,1
9254,10590,1
9254,10872,1
9254,8975,1
9254,9693,1
9254,9807,1
8285,9369,1
8285,9410,1
8285,9230,1
8285,8075,1
8285,8318,1
8285,10592,1
8285,10272,1
8285,8710,1
8285,10783,1
8285,10590,1
8285,10872,1
8285,8975,1
8285,9693,1
8285,9807,1
9369,9410,1
9369,9230,1
9369,8075,1
9369,8318,1
9369,10592,1
9369,10272,1
9369,8710,1
9369,10783,1
9369,10590,1
9369,10872,1
9369,8975,1
9369,9693,1
9369,9807,1
9410,9230,1
9410,8075,1
9410,8318,1
9410,10592,1
9410,10272,1
9410,8710,1
9410,10783,1
9410,10590,1
9410,10872,1
9410,8975,1
9410,9693,1
9410,9807,1
9230,8075,1
9230,8318,1
9230,10592,1
9230,10272,1
9230,8710,1
9230,10783,1
9230,10590,1
9230,10872,1
9230,8975,1
9230,9693,1
9230,9807,1
8075,8318,1
8075,10592,1
8075,10272,1
8075,8710,1
8075,10783,1
8075,10590,1
8075,10872,1
8075,8975,1
8075,9693,1
8075,9807,1
8318,10592,1
8318,10272,1
8318,8710,1
8318,10783,1
8318,10590,1
8318,10872,1
8318,8975,1
8318,9693,1
8318,9807,1
10592,10272,1
10592,8710,1
10592,10783,1
10592,10590,1
10592,10872,1
10592,8975,1
10592,9693,1
10592,9807,1
10272,8710,1
10272,10783,1
10272,10590,1
10272,10872,1
10272,8975,1
10272,9693,1
10272,9807,1
8710,10783,1
8710,10590,1
8710,10872,1
8710,8975,1
8710,9693,1
8710,9807,1
10783,10590,1
10783,10872,1
10783,8975,1
10783,9693,1
10783,9807,1
10590,10872,1
10590,8975,1
10590,9693,1
10590,9807,1
10872,8975,1
10872,9693,1
10872,9807,1
8975,9693,1
8975,9807,1
9693,9807,1
9880,9575,1
9880,9667,1
9880,9375,1
9880,8898,1
9880,8301,1
9880,10030,1
9880,8244,1
9880,8729,1
9880,10120,1
9880,8716,1
9880,10623,1
9880,7978,1
9880,10788,1
9880,9936,1
9880,10018,1
9880,10882,1
9880,9801,1
9880,8173,1
9880,10589,1
9880,9550,1
9880,10555,1
9880,8722,1
9880,9305,1
9880,10612,1
9880,10172,1
9880,8594,1
9880,10280,1
9880,8245,1
8245,10280,1
8245,8594,1
8245,10172,1
8245,10612,1
8245,9305,1
8245,8722,1
8245,10555,1
8245,9550,1
8245,10589,1
8245,8173,1
8245,9801,1
8245,10882,1
8245,10018,1
8245,9936,1
8245,10788,1
8245,7978,1
8245,10623,1
8245,8716,1
8245,10120,1
8245,8729,1
8245,8244,1
8245,10030,1
8245,8301,1
8245,8898,1
8245,9375,1
8245,9667,1
8245,9575,1
10280,8594,1
10280,10172,1
10280,10612,1
10280,9305,1
10280,8722,1
10280,10555,1
10280,9550,1
10280,10589,1
10280,8173,1
10280,9801,1
10280,10882,1
10280,10018,1
10280,9936,1
10280,10788,1
10280,7978,1
10280,10623,1
10280,8716,1
10280,10120,1
10280,8729,1
10280,8244,1
10280,10030,1
10280,8301,1
10280,8898,1
10280,9375,1
10280,9667,1
10280,9575,1
8594,10172,1
8594,10612,1
8594,9305,1
8594,8722,1
8594,10555,1
8594,9550,1
8594,10589,1
8594,8173,1
8594,9801,1
8594,10882,1
8594,10018,1
8594,9936,1
8594,10788,1
8594,7978,1
8594,10623,1
8594,8716,1
8594,10120,1
8594,8729,1
8594,8244,1
8594,10030,1
8594,8301,1
8594,8898,1
8594,9375,1
8594,9667,1
8594,9575,1
10172,10612,1
10172,9305,1
10172,8722,1
10172,10555,1
10172,9550,1
10172,10589,1
10172,8173,1
10172,9801,1
10172,10882,1
10172,10018,1
10172,9936,1
10172,10788,1
10172,7978,1
10172,10623,1
10172,8716,1
10172,10120,1
10172,8729,1
10172,8244,1
10172,10030,1
10172,8301,1
10172,8898,1
10172,9375,1
10172,9667,1
10172,9575,1
10612,9305,1
10612,8722,1
10612,10555,1
10612,9550,1
10612,10589,1
10612,8173,1
10612,9801,1
10612,10882,1
10612,10018,1
10612,9936,1
10612,10788,1
10612,7978,1
10612,10623,1
10612,8716,1
10612,10120,1
10612,8729,1
10612,8244,1
10612,10030,1
10612,8301,1
10612,8898,1
10612,9375,1
10612,9667,1
10612,9575,1
9305,8722,1
9305,10555,1
9305,9550,1
9305,10589,1
9305,8173,1
9305,9801,1
9305,10882,1
9305,10018,1
9305,9936,1
9305,10788,1
9305,7978,1
9305,10623,1
9305,8716,1
9305,10120,1
9305,8729,1
9305,8244,1
9305,10030,1
9305,8301,1
9305,8898,1
9305,9375,1
9305,9667,1
9305,9575,1
8722,10555,1
8722,9550,1
8722,10589,1
8722,8173,1
8722,9801,1
8722,10882,1
8722,10018,1
8722,9936,1
8722,10788,1
8722,7978,1
8722,10623,1
8722,8716,1
8722,10120,1
8722,8729,1
8722,8244,1
8722,10030,1
8722,8301,1
8722,8898,1
8722,9375,1
8722,9667,1
8722,9575,1
10555,9550,1
10555,10589,1
10555,8173,1
10555,9801,1
10555,10882,1
10555,10018,1
10555,9936,1
10555,10788,1
10555,7978,1
10555,10623,1
10555,8716,1
10555,10120,1
10555,8729,1
10555,8244,1
10555,10030,1
10555,8301,1
10555,8898,1
10555,9375,1
10555,9667,1
10555,9575,1
9550,10589,1
9550,8173,1
9550,9801,1
9550,10882,1
9550,10018,1
9550,9936,1
9550,10788,1
9550,7978,1
9550,10623,1
9550,8716,1
9550,10120,1
9550,8729,1
9550,8244,1
9550,10030,1
9550,8301,1
9550,8898,1
9550,9375,1
9550,9667,1
9550,9575,1
10589,8173,1
10589,9801,1
10589,10882,1
10589,10018,1
10589,9936,1
10589,10788,1
10589,7978,1
10589,10623,1
10589,8716,1
10589,10120,1
10589,8729,1
10589,8244,1
10589,10030,1
10589,8301,1
10589,8898,1
10589,9375,1
10589,9667,1
10589,9575,1
8173,9801,1
8173,10882,1
8173,10018,1
8173,9936,1
8173,10788,1
8173,7978,1
8173,10623,1
8173,8716,1
8173,10120,1
8173,8729,1
8173,8244,1
8173,10030,1
8173,8301,1
8173,8898,1
8173,9375,1
8173,9667,1
8173,9575,1
9801,10882,1
9801,10018,1
9801,9936,1
9801,10788,1
9801,7978,1
9801,10623,1
9801,8716,1
9801,10120,1
9801,8729,1
9801,8244,1
9801,10030,1
9801,8301,1
9801,8898,1
9801,9375,1
9801,9667,1
9801,9575,1
10882,10018,1
10882,9936,1
10882,10788,1
10882,7978,1
10882,10623,1
10882,8716,1
10882,10120,1
10882,8729,1
10882,8244,1
10882,10030,1
10882,8301,1
10882,8898,1
10882,9375,1
10882,9667,1
10882,9575,1
10018,9936,1
10018,10788,1
10018,7978,1
10018,10623,1
10018,8716,1
10018,10120,1
10018,8729,1
10018,8244,1
10018,10030,1
10018,8301,1
10018,8898,1
10018,9375,1
10018,9667,1
10018,9575,1
9936,10788,1
9936,7978,1
9936,10623,1
9936,8716,1
9936,10120,1
9936,8729,1
9936,8244,1
9936,10030,1
9936,8301,1
9936,8898,1
9936,9375,1
9936,9667,1
9936,9575,1
10788,7978,1
10788,10623,1
10788,8716,1
10788,10120,1
10788,8729,1
10788,8244,1
10788,10030,1
10788,8301,1
10788,8898,1
10788,9375,1
10788,9667,1
10788,9575,1
7978,10623,1
7978,8716,1
7978,10120,1
7978,8729,1
7978,8244,1
7978,10030,1
7978,8301,1
7978,8898,1
7978,9375,1
7978,9667,1
7978,9575,1
10623,8716,1
10623,10120,1
10623,8729,1
10623,8244,1
10623,10030,1
10623,8301,1
10623,8898,1
10623,9375,1
10623,9667,1
10623,9575,1
8716,10120,1
8716,8729,1
8716,8244,1
8716,10030,1
8716,8301,1
8716,8898,1
8716,9375,1
8716,9667,1
8716,9575,1
10120,8729,1
10120,8244,1
10120,10030,1
10120,8301,1
10120,8898,1
10120,9375,1
10120,9667,1
10120,9575,1
8729,8244,1
8729,10030,1
8729,8301,1
8729,8898,1
8729,9375,1
8729,9667,1
8729,9575,1
8244,10030,1
8244,8301,1
8244,8898,1
8244,9375,1
8244,9667,1
8244,9575,1
10030,8301,1
10030,8898,1
10030,9375,1
10030,9667,1
10030,9575,1
8301,8898,1
8301,9375,1
8301,9667,1
8301,9575,1
8898,9375,1
8898,9667,1
8898,9575,1
9375,9667,1
9375,9575,1
9667,9575,1
8335,10496,1
8335,8343,1
8335,10242,1
8335,9330,1
8335,8895,1
8335,9173,1
8335,9671,1
8335,8837,1
8335,10144,1
8335,9380,1
8335,10257,1
8335,9310,1
8335,10409,1
8335,9222,1
8335,10536,1
8335,9331,1
8335,10101,1
8335,9457,1
8335,8265,1
8335,7880,1
8335,8281,1
8281,7880,1
8281,8265,1
8281,9457,1
8281,10101,1
8281,9331,1
8281,10536,1
8281,9222,1
8281,10409,1
8281,9310,1
8281,10257,1
8281,9380,1
8281,10144,1
8281,8837,1
8281,9671,1
8281,9173,1
8281,8895,1
8281,9330,1
8281,10242,1
8281,8343,1
8281,10496,1
7880,8265,1
7880,9457,1
7880,10101,1
7880,9331,1
7880,10536,1
7880,9222,1
7880,10409,1
7880,9310,1
7880,10257,1
7880,9380,1
7880,10144,1
7880,8837,1
7880,9671,1
7880,9173,1
7880,8895,1
7880,9330,1
7880,10242,1
7880,8343,1
7880,10496,1
8265,9457,1
8265,10101,1
8265,9331,1
8265,10536,1
8265,9222,1
8265,10409,1
8265,9310,1
8265,10257,1
8265,9380,1
8265,10144,1
8265,8837,1
8265,9671,1
8265,9173,1
8265,8895,1
8265,9330,1
8265,10242,1
8265,8343,1
8265,10496,1
9457,10101,1
9457,9331,1
9457,10536,1
9457,9222,1
9457,10409,1
9457,9310,1
9457,10257,1
9457,9380,1
9457,10144,1
9457,8837,1
9457,9671,1
9457,9173,1
9457,8895,1
9457,9330,1
9457,10242,1
9457,8343,1
9457,10496,1
10101,9331,1
10101,10536,1
10101,9222,1
10101,10409,1
10101,9310,1
10101,10257,1
10101,9380,1
10101,10144,1
10101,8837,1
10101,9671,1
10101,9173,1
10101,8895,1
10101,9330,1
10101,10242,1
10101,8343,1
10101,10496,1
9331,10536,1
9331,9222,1
9331,10409,1
9331,9310,1
9331,10257,1
9331,9380,1
9331,10144,1
9331,8837,1
9331,9671,1
9331,9173,1
9331,8895,1
9331,9330,1
9331,10242,1
9331,8343,1
9331,10496,1
10536,9222,1
10536,10409,1
10536,9310,1
10536,10257,1
10536,9380,1
10536,10144,1
10536,8837,1
10536,9671,1
10536,9173,1
10536,8895,1
10536,9330,1
10536,10242,1
10536,8343,1
10536,10496,1
9222,10409,1
9222,9310,1
9222,10257,1
9222,9380,1
9222,10144,1
9222,8837,1
9222,9671,1
9222,9173,1
9222,8895,1
9222,9330,1
9222,10242,1
9222,8343,1
9222,10496,1
10409,9310,1
10409,10257,1
10409,9380,1
10409,10144,1
10409,8837,1
10409,9671,1
10409,9173,1
10409,8895,1
10409,9330,1
10409,10242,1
10409,8343,1
10409,10496,1
9310,10257,1
9310,9380,1
9310,10144,1
9310,8837,1
9310,9671,1
9310,9173,1
9310,8895,1
9310,9330,1
9310,10242,1
9310,8343,1
9310,10496,1
10257,9380,1
10257,10144,1
10257,8837,1
10257,9671,1
10257,9173,1
10257,8895,1
10257,9330,1
10257,10242,1
10257,8343,1
10257,10496,1
9380,10144,1
9380,8837,1
9380,9671,1
9380,9173,1
9380,8895,1
9380,9330,1
9380,10242,1
9380,8343,1
9380,10496,1
10144,8837,1
10144,9671,1
10144,9173,1
10144,8895,1
10144,9330,1
10144,10242,1
10144,8343,1
10144,10496,1
8837,9671,1
8837,9173,1
8837,8895,1
8837,9330,1
8837,10242,1
8837,8343,1
8837,10496,1
9671,9173,1
9671,8895,1
9671,9330,1
9671,10242,1
9671,8343,1
9671,10496,1
9173,8895,1
9173,9330,1
9173,10242,1
9173,8343,1
9173,10496,1
8895,9330,1
8895,10242,1
8895,8343,1
8895,10496,1
9330,10242,1
9330,8343,1
9330,10496,1
10242,8343,1
10242,10496,1
8343,10496,1
9202,9158,1
9202,8290,1
9202,10531,1
9202,9635,1
9202,8078,1
9202,8023,1
9202,9759,1
9202,8124,1
9202,9097,1
9202,9427,1
9202,10853,1
9202,9516,1
9202,9429,1
9202,10648,1
9202,9099,1
9202,10277,1
9202,8675,1
9202,7913,1
9202,9659,1
9202,7958,1
9202,9487,1
9487,7958,1
9487,9659,1
9487,7913,1
9487,8675,1
9487,10277,1
9487,9099,1
9487,10648,1
9487,9429,1
9487,9516,1
9487,10853,1
9487,9427,1
9487,9097,1
9487,8124,1
9487,9759,1
9487,8023,1
9487,8078,1
9487,9635,1
9487,10531,1
9487,8290,1
9487,9158,1
7958,9659,1
7958,7913,1
7958,8675,1
7958,10277,1
7958,9099,1
7958,10648,1
7958,9429,1
7958,9516,1
7958,10853,1
7958,9427,1
7958,9097,1
7958,8124,1
7958,9759,1
7958,8023,1
7958,8078,1
7958,9635,1
7958,10531,1
7958,8290,1
7958,9158,1
9659,7913,1
9659,8675,1
9659,10277,1
9659,9099,1
9659,10648,1
9659,9429,1
9659,9516,1
9659,10853,1
9659,9427,1
9659,9097,1
9659,8124,1
9659,9759,1
9659,8023,1
9659,8078,1
9659,9635,1
9659,10531,1
9659,8290,1
9659,9158,1
7913,8675,1
7913,10277,1
7913,9099,1
7913,10648,1
7913,9429,1
7913,9516,1
7913,10853,1
7913,9427,1
7913,9097,1
7913,8124,1
7913,9759,1
7913,8023,1
7913,8078,1
7913,9635,1
7913,10531,1
7913,8290,1
7913,9158,1
8675,10277,1
8675,9099,1
8675,10648,1
8675,9429,1
8675,9516,1
8675,10853,1
8675,9427,1
8675,9097,1
8675,8124,1
8675,9759,1
8675,8023,1
8675,8078,1
8675,9635,1
8675,10531,1
8675,8290,1
8675,9158,1
10277,9099,1
10277,10648,1
10277,9429,1
10277,9516,1
10277,10853,1
10277,9427,1
10277,9097,1
10277,8124,1
10277,9759,1
10277,8023,1
10277,8078,1
10277,9635,1
10277,10531,1
10277,8290,1
10277,9158,1
9099,10648,1
9099,9429,1
9099,9516,1
9099,10853,1
9099,9427,1
9099,9097,1
9099,8124,1
9099,9759,1
9099,8023,1
9099,8078,1
9099,9635,1
9099,10531,1
9099,8290,1
9099,9158,1
10648,9429,1
10648,9516,1
10648,10853,1
10648,9427,1
10648,9097,1
10648,8124,1
10648,9759,1
10648,8023,1
10648,8078,1
10648,9635,1
10648,10531,1
10648,8290,1
10648,9158,1
9429,9516,1
9429,10853,1
9429,9427,1
9429,9097,1
9429,8124,1
9429,9759,1
9429,8023,1
9429,8078,1
9429,9635,1
9429,10531,1
9429,8290,1
9429,9158,1
9516,10853,1
9516,9427,1
9516,9097,1
9516,8124,1
9516,9759,1
9516,8023,1
9516,8078,1
9516,9635,1
9516,10531,1
9516,8290,1
9516,9158,1
10853,9427,1
10853,9097,1
10853,8124,1
10853,9759,1
10853,8023,1
10853,8078,1
10853,9635,1
10853,10531,1
10853,8290,1
10853,9158,1
9427,9097,1
9427,8124,1
9427,9759,1
9427,8023,1
9427,8078,1
9427,9635,1
9427,10531,1
9427,8290,1
9427,9158,1
9097,8124,1
9097,9759,1
9097,8023,1
9097,8078,1
9097,9635,1
